Subjekt;Attribut;Wert;Text
Habitate;Gehölze;Auenwälder;in Auenwäldern
Habitate;Gehölze;Bruchwälder;in Bruchwäldern
Habitate;Gehölze;Buchenwälder;in Buchenwäldern
Habitate;Gehölze;Gebüsche;in Gebüschen
Habitate;Gehölze;Hartholz-Auenwälder;in Hartholz-Auenwäldern
Habitate;Gehölze;Hecken;in Hecken
Habitate;Gehölze;Lärchen-Arvenwälder;in Lärchen-Arvenwäldern
Habitate;Gehölze;Laubwälder;in Laubwäldern
Habitate;Gehölze;lichte Wälder;in lichten Wäldern
Habitate;Gehölze;Nadelwälder;in Nadelwäldern
Habitate;Gehölze;Schluchtwälder;in Schluchtwäldern
Habitate;Gehölze;Wälder;in Wäldern
Habitate;Gehölze;Waldränder;an Waldrändern
Habitate;Gehölze;Waldschläge;in Waldschlägen
Habitate;Gehölze;Weichholz-Auenwälder;in Weichholz-Auenwäldern
Habitate;Grasland;Fettwiesen;in Fettwiesen
Habitate;Grasland;Flachmoore;in Flachmooren
Habitate;Grasland;Hochmoore;in Hochmooren
Habitate;Grasland;Moore;in Mooren
Habitate;Grasland;Nasswiesen;in Nasswiesen
Habitate;Grasland;Rasen;in Rasen
Habitate;Grasland;Riedwiesen;in Streuwiesen
Habitate;Grasland;Trockenwiesen;in Trockenwiesen
Habitate;Grasland;Weiden;in Weiden
Habitate;Grasland;Wiesen;in Wiesen
Habitate;Grasland;Zierrasen;in Zierrasen
Habitate;offen;Äcker;in Äckern
Habitate;offen;Bach-/Flussufer;an Bach- oder Flussufern
Habitate;offen;Bachgeröll;im Bachgeröll
Habitate;offen;Bahnareale;in Bahnarealen
Habitate;offen;Böschungen;an Böschungen
Habitate;offen;Feldwege;auf Feldwegen
Habitate;offen;Felsen;an Felsen
Habitate;offen;Gärten;in Gärten
Habitate;offen;Mauern;an Mauern
Habitate;offen;Ruderalstellen;auf Ruderalstellen
Habitate;offen;Schutt;in Schutthalden
Habitate;offen;Ufer;an Ufern von Seen und Tümpeln
Habitate;offen;Wegränder;an Wegrändern
Habitate;offen;Weinberge;in Weinbergen
Habitate;übrige;Felsensteppen;in Felsensteppen
Habitate;übrige;Gewässer;in Gewässern
Habitate;übrige;Gräben;in Gräben
Habitate;übrige;Hochstaudenfluren;in Hochstaudenfluren
Habitate;übrige;Lägerstellen;an Lägerstellen
Habitate;übrige;Obstgärten;in Obstgärten
Habitate;übrige;Quellfluren;in Quellfluren
Habitate;übrige;Röhrichte;in Röhrichten
Habitate;übrige;Schneetälchengesellschaften;in Schneetälchengesellschaften
Habitate;übrige;Schwimmblattgesellschaften;in Schwimmblattgesellschaften
Habitate;übrige;Trittgesellschaften;in Trittgesellschaften
Habitate;übrige;Zwergstrauchgesellschaften;in Zwergstrauchgesellschaften
Standortfaktoren;Bodenstruktur;steinig;auf steinigen Böden
Standortfaktoren;Feuchtigkeit;feucht;an feuchten Stellen
Standortfaktoren;Feuchtigkeit;trocken;an trockenen Stellen
Standortfaktoren;Höhenstufe;alpin;in der alpinen Stufe
Standortfaktoren;Höhenstufe;kollin;in der kollinen Stufe
Standortfaktoren;Höhenstufe;montan;in der montanen Stufe
Standortfaktoren;Höhenstufe;subalpin;in der subalpinen Stufe
Standortfaktoren;Klima;ausgeglichen;in Gebieten mit ausgeglichenem Klima
Standortfaktoren;Klima;kontinental;in Gebieten mit kontinentalem Klima
Standortfaktoren;Lage;auf Bäumen;auf Bäumen
Standortfaktoren;Lage;in Lawinenrunsen;in Lawinenrunsen
Standortfaktoren;Lage;Kuppen;auf Kuppen und Graten
Standortfaktoren;Nährstoffe;nährstoffarm;an nährstoffarmen Stellen
Standortfaktoren;Nährstoffe;nährstoffreich;an nährstoffreichen Stellen
Standortfaktoren;Nährstoffe;Stickstoffzeiger;Stickstoffzeiger
Standortfaktoren;pH;Basenzeiger;Basenzeiger
Standortfaktoren;pH;basisch;an basischen Standorten
Standortfaktoren;pH;sauer;an sauren Standorten
Standortfaktoren;pH;Säurezeiger;Säurezeiger
Standortfaktoren;Temperatur;heiss;in heissen Lagen
Standortfaktoren;Temperatur;schattig;in schattigen Lagen
Standortfaktoren;Temperatur;warme Lagen;in warmen Lagen
Standortfaktoren;Verbreitung;Alpennordseite;auf der Alpennordseite
Standortfaktoren;Verbreitung;Alpensüdseite;auf der Alpensüdseite
Standortfaktoren;Verbreitung;in Föhntälern;in Föhntälern
Standortfaktoren;Verbreitung;nur (oder v.a.) kultiviert;nur (oder v.a.) kultiviert
Standortfaktoren;Verbreitung;Zentralalpen;in den Zentralalpen
