Taxon;Synonym
Spermatophyta;Magnoliophyta
Spermatophyta;Anthophyta
Gymnospermae;Coniferophytina
Huperzia selago;Lycopodium selago
Equisetum telmateia;Equisetum maximum
Equisetum hyemale;Equisetum hiemale
Equisetum sylvaticum;Equisetum silvaticum
Picea abies;Picea excelsa
Pinus sylvestris;Pinus silvestris
Pinus mugo;Pinus montana
Juniperus nana;Juniperus communis ssp. nana
Juniperus nana;Juniperus communis ssp. alpina
Angiospermae;Magnoliophytina
Monocotyledoneae;Liliatae
Dicotyledoneae;Magnoliatae
Dicotyledoneae;Magnoliopsida
Monocotyledoneae;Liliopsida
Consolida regalis;Delphinium consolida
Ranunculus friesianus;Ranunculus acris  ssp. friesianus
Ranunculus kuepferi;Ranunculus plantagineus
Ranunculus kuepferi;Ranunculus pyrenaeus
Pulsatilla apiifolia;Pulsatilla sulphurea
Pulsatilla apiifolia;Pulsatilla alpina ssp. apiifolia
Cerastium holosteoides;Cerastium caespitosum
Cerastium holosteoides;Cerastium fontanum ssp. vulgare
Cerastium strictum;Cerastium arvense ssp. strictum
Silene latifolia;Silene alba
Silene latifolia;Silene pratensis
Dianthus sylvestris;Dianthus silvestris
Dianthus sylvestris;Dianthus silvester
Reynoutria japonica;Polygonum cuspidatum
Ulmus glabra;Ulmus scabra
Saxifraga paniculata;Saxifraga aizoon
Fabales;Leguminosae
Fabaceae;Papilionaceae
Fagus sylvatica;Fagus silvatica
Hedysarum hedysaroides;Hedysarum obscurum
Malus sylvestris;Malus silvestris
Malus sylvestris;Pyrus malus
Malus sylvestris;Pirus malus
Pyrus pyraster;Pirus piraster
Onagraceae;Oenotheraceae
Geranium sylvaticum;Geranium silvaticum
Euonymus europaea;Evonymus europaea
Frangula alnus;Rhamnus frangula
Loranthaceae;Viscaceae
Araliales;Umbelliflorae
Apiaceae;Umbelliferae
Anthriscus sylvestris;Chaerophyllum sylvestre
Anthriscus sylvestris;Chaerophyllum silvestre
Helianthemum ovatum;Helianthemum nummularium ssp. obscurum
Viola reichenbachiana;Viola sylvestris
Viola reichenbachiana;Viola silvestris
Malva sylvestris;Malva silvestris
Brassicaceae;Cruciferae
Alliaria petiolata;Alliaria officinalis
Hutchinsia alpina;Pritzelago alpina
Ericales;Bicornes
Erica carnea;Erica herbacea
Lonicera caerulea;Lonicera coerulea
Silene dioica;Silene dioeca
Urtica dioica;Urtica dioeca
Vincetoxicum hirundinaria;Vincetoxicum officinale
Gentiana acaulis;Gentiana kochiana
Gentiana campestris;Gentianella campestris
Gentiana germanica;Gentianella germanica
Calystegia sepium;Convolvulus sepium
Chaenorrhinum minus;Linaria minor
Melampyrum sylvaticum;Melampyrum silvaticum
Lamiaceae;Labiatae
Glechoma hederacea;Glechoma hederaceum
Acinos alpinus;Satureja alpina
Lamium montanum;Lamiastrum montanum
Lamium montanum;Lamium galeobdolon ssp. montanum
Stachys sylvatica;Stachys silvatica
Asteridae;Synandrae
Asteraceae;Compositae
Asteroideae;Tubuliflorae
Cichorioideae;Liguliflorae
Antennaria dioica;Antennaria dioeca
Achillea moschata;Achillea erba-rotta ssp. moschata
Aster bellidiastrum;Bellidiastrum michelii
Leucanthemopsis alpina;Chrysanthemum alpinum
Leucanthemum vulgare;Chrysanthemum leucanthemum
Matricaria discoidea;Matricaria suaveolens
Matricaria recutita;Matricaria chamomilla
Tulipa sylvestris;Tulipa silvestris
Veratrum lobelianum;Veratrum album ssp. lobelianum
Polygonatum odoratum;Polygonatum officinale
Gymnadenia conopsea;Gymnadenia conopea
Dactylorhiza maculata;Orchis maculata
Juncus alpinoarticulatus;Juncus alpinus
Luzula sylvatica;Luzula silvatica
Scirpus sylvaticus;Scirpus silvaticus
Carex spicata;Carex contigua
Carex echinata;Carex stellulata
Carex nigra;Carex fusca
Carex caryophyllea;Carex verna
Carex sylvatica;Carex silvatica
Bromus hordeaceus;Bromus mollis
Festuca valesiaca;Festuca vallesiaca
Helictotrichon pubescens;Avenula pubescens
Molinia caerulea;Molinia coerulea
Phragmites australis;Phragmites communis
Apera spica-venti;Agrostis spica-venti
Brachypodium sylvaticum;Brachypodium silvaticum
Sesleria caerulea;Sesleria coerulea
Sesleria caerulea;Sesleria albicans
Poaceae;Gramineae
